model,tweet_index,original_tweet_index,date,error,adwin_estimation,adwin_width,n_detections
naive_bayes,26625,31625,2009-04-18 13:23:59,1,0.37104936079545453,22528.0,1
naive_bayes,98817,103817,2009-05-01 22:00:45,1,0.39296875,1280.0,1
naive_bayes,106721,111721,2009-05-02 02:00:29,1,0.44583333333333336,480.0,1
naive_bayes,108673,113673,2009-05-02 03:00:23,1,0.40125,800.0,1
naive_bayes,193249,198249,2009-05-10 00:16:30,1,0.35650971093044265,35424.0,1
naive_bayes,222913,227913,2009-05-11 23:38:55,0,0.3412859824780976,25568.0,1
naive_bayes,286369,291369,2009-05-17 18:29:33,0,0.3704537729435758,47072.0,1
naive_bayes,323521,328521,2009-05-18 06:46:44,0,0.38192763794772505,33056.0,1
naive_bayes,421089,426089,2009-05-29 11:15:15,0,0.36562911003945636,72992.0,1
naive_bayes,474657,479657,2009-05-30 00:32:55,1,0.3649726727785614,45376.0,1
naive_bayes,521537,526537,2009-05-30 11:30:09,0,0.3706575682382134,38688.0,1
naive_bayes,588481,593481,2009-05-31 02:50:16,1,0.3783871187363834,58752.0,1
naive_bayes,763585,768585,2009-06-01 20:10:32,1,0.3783221378504673,109568.0,1
naive_bayes,906689,911689,2009-06-05 11:44:02,0,0.3759425754060325,110336.0,1
naive_bayes,957089,962089,2009-06-06 00:45:09,1,0.36377005347593583,29920.0,1
naive_bayes,1000545,1005545,2009-06-06 10:32:23,0,0.36927177858439203,35264.0,1
naive_bayes,1072353,1077353,2009-06-07 01:35:43,0,0.3690109406438632,63616.0,1
naive_bayes,1105249,1110249,2009-06-07 09:00:16,0,0.3704513888888889,28800.0,1
naive_bayes,1189985,1194985,2009-06-15 04:19:01,0,0.3735808754681648,68352.0,1
naive_bayes,1236129,1241129,2009-06-15 14:49:58,0,0.364381323777403,37952.0,1
naive_bayes,1289153,1294153,2009-06-16 02:02:26,0,0.3742416131334761,44832.0,1
naive_bayes,1320129,1325129,2009-06-16 08:53:11,0,0.366968047752809,22784.0,1
naive_bayes,1434593,1439593,2009-06-18 23:41:57,1,0.22023858075040784,98080.0,1
naive_bayes,1571777,1576777,2009-06-24 22:16:39,0,0.21334876543209877,38880.0,1
naive_bayes,1593697,1598697,2009-06-25 09:51:41,0,0.2061826750448833,17824.0,1
